## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D8_repl_2_HDACi_S40_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D8_repl_2_HDACi_S40_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D8_repl_2_HDACi_S40_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 04:46:31 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1086	44060791	18541687	0	466	12637141	491820	0.286813	62825991

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.007792	23445569	0	23705883
2.0	1.50759	5787151	466187	5658771
3.0	1.755456	1506507	11150	1424995
4.0	1.878381	404342	727	371373
5.0	1.939343	120403	141	109316
6.0	1.969576	44803	43	41369
7.0	1.98457	22496	23	21283
8.0	1.992006	14442	15	14020
9.0	1.995694	10614	6	10328
10.0	1.997523	8060	1	8006
11.0	1.99843	6798	2	6708
12.0	1.998879	5324	1	5155
13.0	1.999102	4630	1	4635
14.0	1.999213	3849	0	3742
15.0	1.999268	3399	1	3399
16.0	1.999295	2867	0	2787
17.0	1.999309	2541	1	2481
18.0	1.999315	2205	0	2210
19.0	1.999319	1950	0	1900
20.0	1.99932	1774	0	1787
21.0	1.999321	1619	0	1551
22.0	1.999321	1446	0	1452
23.0	1.999322	1320	0	1293
24.0	1.999322	1233	0	1230
25.0	1.999322	1088	0	1064
26.0	1.999322	1033	0	1013
27.0	1.999322	873	0	888
28.0	1.999322	861	0	817
29.0	1.999322	820	0	814
30.0	1.999322	717	0	668
31.0	1.999322	615	0	644
32.0	1.999322	587	0	584
33.0	1.999322	554	0	501
34.0	1.999322	504	0	506
35.0	1.999322	451	0	442
36.0	1.999322	407	0	397
37.0	1.999322	425	0	430
38.0	1.999322	409	0	393
39.0	1.999322	354	0	363
40.0	1.999322	340	0	350
41.0	1.999322	345	0	324
42.0	1.999322	321	0	306
43.0	1.999322	288	0	294
44.0	1.999322	276	0	277
45.0	1.999322	239	0	224
46.0	1.999322	239	0	232
47.0	1.999322	276	0	291
48.0	1.999322	254	0	232
49.0	1.999322	217	0	222
50.0	1.999322	208	0	206
51.0	1.999322	189	0	170
52.0	1.999322	178	0	182
53.0	1.999322	170	0	167
54.0	1.999322	157	0	162
55.0	1.999322	161	0	154
56.0	1.999322	164	0	156
57.0	1.999322	143	0	144
58.0	1.999322	137	0	127
59.0	1.999322	124	0	132
60.0	1.999322	125	0	120
61.0	1.999322	118	0	123
62.0	1.999322	123	0	115
63.0	1.999322	96	0	101
64.0	1.999322	111	0	99
65.0	1.999322	105	0	115
66.0	1.999322	110	0	99
67.0	1.999322	80	0	88
68.0	1.999322	100	0	91
69.0	1.999322	95	0	96
70.0	1.999322	101	0	98
