## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D8_repl_2_LSD1i_S41_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D8_repl_2_LSD1i_S41_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D8_repl_2_LSD1i_S41_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 04:20:54 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1424	48257632	18918252	0	637	18726678	512622	0.388057	45371416

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.006026	19043789	0	19242409
2.0	1.353313	6729903	481557	6676562
3.0	1.473198	2356872	13131	2288133
4.0	1.514584	814639	1001	773043
5.0	1.52887	285762	229	265775
6.0	1.533802	108087	81	99866
7.0	1.535504	47363	28	44228
8.0	1.536092	25824	16	24413
9.0	1.536295	16575	10	15977
10.0	1.536365	12257	6	11955
11.0	1.536389	9639	3	9540
12.0	1.536398	7998	2	7894
13.0	1.5364	6729	0	6581
14.0	1.536401	5729	1	5659
15.0	1.536402	4922	0	4848
16.0	1.536402	4211	0	4114
17.0	1.536402	3716	0	3734
18.0	1.536402	3302	0	3255
19.0	1.536402	3040	0	2987
20.0	1.536402	2649	0	2610
21.0	1.536402	2430	0	2390
22.0	1.536402	2136	0	2128
23.0	1.536402	1913	0	1852
24.0	1.536402	1762	0	1758
25.0	1.536402	1686	0	1710
26.0	1.536402	1606	0	1544
27.0	1.536402	1370	0	1359
28.0	1.536402	1265	0	1289
29.0	1.536402	1223	0	1128
30.0	1.536402	1129	0	1115
31.0	1.536402	1007	0	1016
32.0	1.536402	956	0	931
33.0	1.536402	908	0	927
34.0	1.536402	862	0	851
35.0	1.536402	781	0	771
36.0	1.536402	770	0	737
37.0	1.536402	691	0	675
38.0	1.536402	576	0	577
39.0	1.536402	593	0	555
40.0	1.536402	557	0	588
41.0	1.536402	542	0	504
42.0	1.536402	508	0	497
43.0	1.536402	442	0	446
44.0	1.536402	433	0	400
45.0	1.536402	405	0	427
46.0	1.536402	391	0	378
47.0	1.536402	408	0	405
48.0	1.536402	375	0	362
49.0	1.536402	350	0	371
50.0	1.536402	335	0	326
51.0	1.536402	311	0	307
52.0	1.536402	296	0	278
53.0	1.536402	291	0	295
54.0	1.536402	271	0	262
55.0	1.536402	249	0	240
56.0	1.536402	242	0	235
57.0	1.536402	236	0	244
58.0	1.536402	239	0	227
59.0	1.536402	211	0	194
60.0	1.536402	179	0	186
61.0	1.536402	174	0	170
62.0	1.536402	182	0	189
63.0	1.536402	217	0	207
64.0	1.536402	176	0	169
65.0	1.536402	170	0	173
66.0	1.536402	188	0	180
67.0	1.536402	156	0	166
68.0	1.536402	173	0	166
69.0	1.536402	142	0	131
