## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D0_repl_2_LSD1i_S38_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D0_repl_2_LSD1i_S38_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D0_repl_2_LSD1i_S38_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 05:11:07 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1620	49046935	17049151	0	1099	27286025	567457	0.556327	25624727

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
137.0	0	233	0	219
138.0	0	209	0	226
139.0	0	229	0	195
140.0	0	214	0	252
141.0	0	212	0	213
142.0	0	237	0	227
143.0	0	220	0	225
144.0	0	201	0	185
145.0	0	216	0	211
146.0	0	191	0	191
147.0	0	196	0	179
148.0	0	185	0	187
149.0	0	180	0	183
150.0	0	188	0	194
151.0	0	189	0	177
152.0	0	178	0	164
153.0	0	169	0	177
154.0	0	164	0	175
155.0	0	175	0	158
156.0	0	165	0	167
157.0	0	174	0	172
158.0	0	183	0	181
159.0	0	169	0	160
160.0	0	171	0	177
161.0	0	154	0	150
162.0	0	145	0	151
163.0	0	161	0	150
164.0	0	164	0	176
165.0	0	152	0	141
166.0	0	141	0	133
167.0	0	158	0	139
168.0	0	140	0	130
169.0	0	149	0	142
170.0	0	120	0	118
171.0	0	121	0	135
172.0	0	137	0	124
173.0	0	126	0	122
174.0	0	124	0	123
175.0	0	113	0	114
176.0	0	115	0	125
177.0	0	132	0	123
178.0	0	124	0	131
179.0	0	127	0	99
180.0	0	103	0	122
181.0	0	125	0	119
182.0	0	110	0	109
183.0	0	107	0	124
184.0	0	122	0	128
185.0	0	122	0	125
186.0	0	108	0	112
187.0	0	119	0	121
188.0	0	118	0	122
189.0	0	110	0	110
190.0	0	129	0	104
191.0	0	107	0	104
192.0	0	104	0	112
193.0	0	113	0	81
194.0	0	104	0	119
195.0	0	103	0	116
196.0	0	116	0	113
197.0	0	111	0	96
198.0	0	93	0	99
199.0	0	103	0	101
200.0	0	91	0	93
201.0	0	104	0	104
202.0	0	103	0	111
203.0	0	108	0	89
204.0	0	100	0	77
205.0	0	95	0	75
206.0	0	72	0	87
207.0	0	73	0	99
208.0	0	96	0	84
209.0	0	84	0	75
210.0	0	81	0	86
211.0	0	87	0	69
212.0	0	64	0	65
213.0	0	74	0	84
214.0	0	78	0	71
215.0	0	73	0	70
216.0	0	79	0	62
217.0	0	74	0	73
218.0	0	76	0	67
219.0	0	58	0	69
220.0	0	80	0	78
221.0	0	57	0	74
222.0	0	73	0	70
223.0	0	77	0	72
224.0	0	72	0	83
225.0	0	81	0	73
226.0	0	77	0	75
227.0	0	77	0	72
228.0	0	61	0	59
229.0	0	69	0	62
230.0	0	77	0	68
231.0	0	54	0	63
232.0	0	57	0	63
233.0	0	62	0	69
234.0	0	59	0	64
235.0	0	71	0	48
236.0	0	54	0	66
237.0	0	63	0	62
238.0	0	65	0	68
239.0	0	66	0	58
240.0	0	65	0	73
241.0	0	69	0	61
242.0	0	60	0	64
243.0	0	57	0	59
244.0	0	57	0	67
245.0	0	64	0	61
246.0	0	59	0	64
247.0	0	60	0	57
248.0	0	51	0	56
249.0	0	75	0	58
250.0	0	57	0	48
251.0	0	54	0	67
252.0	0	50	0	43
253.0	0	63	0	52
254.0	0	63	0	64
255.0	0	58	0	55
256.0	0	48	0	67
257.0	0	59	0	47
258.0	0	65	0	55
259.0	0	50	0	48
260.0	0	59	0	43
261.0	0	46	0	49
262.0	0	40	0	48
263.0	0	47	0	44
264.0	0	51	0	52
265.0	0	42	0	55
266.0	0	55	0	39
267.0	0	47	0	51
268.0	0	43	0	42
269.0	0	42	0	45
270.0	0	51	0	43
271.0	0	42	0	57
272.0	0	37	0	36
273.0	0	50	0	45
274.0	0	43	0	44
275.0	0	55	0	38
276.0	0	51	0	48
277.0	0	39	0	40
278.0	0	48	0	27
279.0	0	36	0	32
280.0	0	35	0	41
281.0	0	30	0	30
282.0	0	33	0	48
283.0	0	36	0	39
284.0	0	42	0	35
285.0	0	27	0	28
286.0	0	35	0	39
287.0	0	34	0	26
288.0	0	30	0	32
289.0	0	40	0	41
290.0	0	31	0	41
291.0	0	35	0	42
292.0	0	35	0	26
293.0	0	40	0	41
294.0	0	44	0	31
295.0	0	41	0	33
296.0	0	33	0	40
297.0	0	31	0	35
298.0	0	36	0	31
299.0	0	33	0	31
300.0	0	25	0	48
301.0	0	35	0	24
302.0	0	33	0	31
303.0	0	32	0	38
304.0	0	39	0	29
305.0	0	45	0	47
306.0	0	34	0	31
307.0	0	26	0	35
308.0	0	34	0	34
309.0	0	42	0	33
310.0	0	27	0	36
311.0	0	31	0	33
312.0	0	34	0	37
313.0	0	29	0	38
314.0	0	41	0	29
315.0	0	41	0	32
316.0	0	35	0	24
317.0	0	24	0	27
318.0	0	34	0	24
319.0	0	28	0	33
320.0	0	37	0	40
321.0	0	26	0	29
322.0	0	27	0	29
323.0	0	31	0	24
324.0	0	33	0	35
325.0	0	24	0	20
326.0	0	27	0	37
327.0	0	26	0	21
328.0	0	32	0	28
329.0	0	34	0	28
330.0	0	27	0	27
331.0	0	18	0	23
332.0	0	32	0	27
333.0	0	28	0	21
334.0	0	24	0	25
335.0	0	17	0	29
336.0	0	25	0	23
337.0	0	24	0	28
338.0	0	22	0	28
339.0	0	37	0	23
340.0	0	29	0	23
341.0	0	23	0	25
342.0	0	27	0	18
343.0	0	20	0	35
344.0	0	28	0	17
345.0	0	18	0	26
346.0	0	21	0	19
347.0	0	34	0	28
348.0	0	24	0	20
349.0	0	16	0	23
350.0	0	18	0	21
351.0	0	24	0	24
352.0	0	25	0	22
353.0	0	15	0	22
354.0	0	24	0	16
355.0	0	21	0	29
356.0	0	24	0	21
357.0	0	31	0	21
358.0	0	20	0	16
359.0	0	23	0	17
360.0	0	21	0	19
361.0	0	15	0	19
362.0	0	13	0	17
363.0	0	21	0	25
364.0	0	19	0	21
365.0	0	17	0	18
366.0	0	23	0	20
367.0	0	19	0	23
368.0	0	22	0	23
369.0	0	25	0	27
370.0	0	20	0	15
371.0	0	23	0	32
372.0	0	25	0	14
373.0	0	26	0	25
374.0	0	25	0	16
375.0	0	18	0	22
376.0	0	18	0	12
377.0	0	15	0	8
378.0	0	17	0	23
379.0	0	18	0	21
380.0	0	16	0	15
381.0	0	15	0	16
382.0	0	19	0	14
383.0	0	19	0	19
384.0	0	17	0	17
385.0	0	12	0	16
386.0	0	8	0	26
387.0	0	24	0	21
388.0	0	11	0	16
389.0	0	23	0	17
390.0	0	23	0	15
391.0	0	15	0	12
392.0	0	15	0	19
393.0	0	17	0	17
394.0	0	19	0	16
395.0	0	14	0	18
396.0	0	15	0	16
397.0	0	16	0	13
398.0	0	18	0	18
399.0	0	17	0	16
400.0	0	19	0	8
401.0	0	17	0	15
402.0	0	15	0	17
403.0	0	19	0	22
404.0	0	20	0	15
405.0	0	15	0	19
406.0	0	7	0	14
407.0	0	12	0	15
408.0	0	16	0	14
409.0	0	19	0	18
410.0	0	21	0	9
411.0	0	17	0	12
412.0	0	14	0	17
413.0	0	10	0	11
414.0	0	17	0	19
415.0	0	10	0	21
416.0	0	13	0	17
417.0	0	15	0	16
418.0	0	16	0	13
419.0	0	19	0	11
420.0	0	17	0	15
421.0	0	16	0	14
422.0	0	16	0	14
423.0	0	12	0	15
424.0	0	14	0	15
425.0	0	13	0	14
426.0	0	15	0	15
427.0	0	12	0	15
428.0	0	12	0	18
429.0	0	13	0	12
430.0	0	16	0	15
431.0	0	16	0	11
432.0	0	12	0	12
433.0	0	19	0	13
434.0	0	12	0	10
435.0	0	13	0	11
436.0	0	16	0	9
437.0	0	10	0	24
438.0	0	14	0	7
439.0	0	17	0	21
440.0	0	9	0	12
441.0	0	12	0	14
442.0	0	11	0	13
443.0	0	14	0	11
444.0	0	16	0	8
445.0	0	13	0	13
446.0	0	5	0	12
447.0	0	14	0	9
448.0	0	14	0	9
449.0	0	18	0	14
450.0	0	8	0	23
451.0	0	12	0	16
452.0	0	10	0	11
453.0	0	14	0	14
454.0	0	12	0	6
455.0	0	14	0	7
456.0	0	14	0	14
457.0	0	16	0	12
458.0	0	10	0	20
459.0	0	9	0	11
460.0	0	10	0	13
461.0	0	16	0	11
462.0	0	15	0	11
463.0	0	9	0	16
464.0	0	15	0	15
465.0	0	15	0	2
466.0	0	14	0	11
467.0	0	15	0	5
468.0	0	14	0	11
469.0	0	7	0	8
470.0	0	6	0	14
471.0	0	9	0	16
472.0	0	7	0	12
473.0	0	9	0	11
474.0	0	6	0	10
475.0	0	15	0	8
476.0	0	10	0	14
477.0	0	11	0	12
478.0	0	9	0	6
479.0	0	15	0	13
480.0	0	14	0	9
481.0	0	13	0	12
482.0	0	11	0	12
483.0	0	9	0	10
484.0	0	10	0	6
485.0	0	9	0	6
486.0	0	11	0	7
487.0	0	6	0	11
488.0	0	14	0	6
489.0	0	8	0	7
490.0	0	4	0	12
491.0	0	9	0	12
492.0	0	10	0	4
493.0	0	9	0	5
494.0	0	7	0	4
495.0	0	4	0	12
496.0	0	8	0	14
497.0	0	8	0	14
498.0	0	10	0	7
499.0	0	16	0	6
500.0	0	7	0	6
501.0	0	9	0	8
502.0	0	13	0	12
503.0	0	8	0	3
504.0	0	3	0	9
505.0	0	8	0	8
506.0	0	6	0	7
507.0	0	6	0	11
508.0	0	4	0	5
509.0	0	7	0	9
510.0	0	13	0	11
511.0	0	8	0	11
512.0	0	6	0	10
513.0	0	8	0	10
514.0	0	7	0	6
515.0	0	9	0	12
516.0	0	14	0	6
517.0	0	9	0	8
518.0	0	12	0	12
519.0	0	13	0	7
520.0	0	8	0	9
521.0	0	6	0	9
522.0	0	8	0	5
523.0	0	7	0	6
524.0	0	7	0	5
525.0	0	9	0	5
526.0	0	8	0	6
527.0	0	6	0	4
528.0	0	6	0	9
529.0	0	6	0	4
530.0	0	8	0	4
531.0	0	6	0	9
532.0	0	5	0	6
533.0	0	6	0	8
534.0	0	4	0	7
535.0	0	5	0	12
536.0	0	11	0	8
537.0	0	8	0	4
