## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT data/mapped_data/ATAC_D8_repl_2_no_tx_S42_trimmed_Aligned.sortedByCoord.out.bam --OUTPUT data/mapped_data/ATAC_D8_repl_2_no_tx_S42_trimmed_Aligned.sortedByCoord.dupMarker.out.bam --METRICS_FILE qc_reports/mapping_reads/ATAC_D8_repl_2_no_tx_S42_trimmed_marked_dup_metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Aug 19 03:10:31 PDT 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1023	43962581	16418996	0	543	17523669	419766	0.398606	39687654

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.005272	18123886	0	18294010
2.0	1.337327	5481648	384228	5417119
3.0	1.447009	1712812	12496	1656482
4.0	1.483238	559068	1752	530874
5.0	1.495205	202556	534	191077
6.0	1.499158	87797	229	83359
7.0	1.500464	48013	105	46284
8.0	1.500895	31408	55	30427
9.0	1.501037	22551	31	22133
10.0	1.501084	17830	25	17606
11.0	1.5011	14720	11	14582
12.0	1.501105	12104	10	11882
13.0	1.501107	10195	3	10161
14.0	1.501107	8895	2	8785
15.0	1.501108	7859	1	7718
16.0	1.501108	6684	3	6660
17.0	1.501108	6029	3	5934
18.0	1.501108	5286	1	5278
19.0	1.501108	4724	1	4577
20.0	1.501108	4402	1	4378
21.0	1.501108	3969	0	3926
22.0	1.501108	3546	1	3473
23.0	1.501108	3320	1	3320
24.0	1.501108	2993	0	2958
25.0	1.501108	2754	0	2759
26.0	1.501108	2607	0	2549
27.0	1.501108	2253	0	2227
28.0	1.501108	2219	0	2245
29.0	1.501108	2027	0	1961
30.0	1.501108	1883	0	1890
31.0	1.501108	1783	0	1719
32.0	1.501108	1575	0	1553
33.0	1.501108	1521	0	1475
34.0	1.501108	1367	0	1434
35.0	1.501108	1399	0	1349
36.0	1.501108	1369	1	1315
37.0	1.501108	1165	0	1201
38.0	1.501108	1182	0	1150
39.0	1.501108	1044	0	1022
40.0	1.501108	1023	0	993
41.0	1.501108	939	0	970
42.0	1.501108	921	0	903
43.0	1.501108	873	0	853
44.0	1.501108	896	0	876
45.0	1.501108	841	0	835
46.0	1.501108	791	0	789
47.0	1.501108	730	0	701
48.0	1.501108	699	0	741
49.0	1.501108	657	0	616
50.0	1.501108	653	0	638
51.0	1.501108	614	0	637
52.0	1.501108	583	0	566
53.0	1.501108	555	0	562
54.0	1.501108	556	0	522
55.0	1.501108	504	0	512
56.0	1.501108	498	0	490
57.0	1.501108	487	0	476
58.0	1.501108	475	0	450
59.0	1.501108	417	0	425
60.0	1.501108	398	0	410
61.0	1.501108	411	0	390
62.0	1.501108	390	0	376
63.0	1.501108	382	0	383
64.0	1.501108	368	0	365
65.0	1.501108	351	0	361
66.0	1.501108	383	0	364
67.0	1.501108	333	0	343
68.0	1.501108	331	0	329
