#File	data/raw_data/ATAC_D8_repl_2_LSD1i_S41_R1_001.fastq.gz	data/raw_data/ATAC_D8_repl_2_LSD1i_S41_R2_001.fastq.gz
#Total	102466166
#Matched	11916	0.01163%
#Name	Reads	ReadsPct
I7_Nextera_Transposase_1	6428	0.00627%
I5_Nextera_Transposase_1	5258	0.00513%
I7_Primer_Nextera_XT_and_Nextera_Enrichment_N711	190	0.00019%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]501	10	0.00001%
TruSeq_Universal_Adapter	8	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]504	6	0.00001%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]502	4	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]507	3	0.00000%
PhiX_read2_adapter	2	0.00000%
Reverse_adapter	2	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S510	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S515	1	0.00000%
I5_Primer_Nextera_XT_Index_Kit_v2_S516	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]505	1	0.00000%
I5_Primer_Nextera_XT_and_Nextera_Enrichment_[N/S/E]506	1	0.00000%
